,Team,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,FTM/A,OFF,DEF,TOT,AVG
2022,Womens,at Montana St.,03/11/22,64-75,L,26-71,.875,5-29,7-8,17,30,47,37.0
2021,Womens,at UNLV,11/25/20,79-75,W,28-68,.667,9-24,14-21,15,28,43,43.0
2021,Womens,at Arizona,11/29/20,63-76,L,23-71,.786,6-19,11-14,16,30,46,44.5
2021,Womens,at Eastern Wash.,12/05/20,89-60,W,36-70,.923,5-14,12-13,9,22,31,40.0
2021,Womens,at Eastern Wash.,12/06/20,69-55,W,25-65,.714,9-27,10-14,14,24,38,39.5
2021,Womens,at Grand Canyon,12/10/20,58-66,L,21-51,.643,7-19,9-14,3,37,40,39.6
2021,Womens,vs UTEP,12/17/20,83-75,W,30-57,.800,7-20,16-20,8,29,37,39.2
2021,Womens,vs Idaho,12/31/20,84-62,W,34-65,1.000,10-21,6-6,7,32,39,39.1
2021,Womens,vs Idaho,01/02/21,59-66,L,22-63,.615,7-23,8-13,7,29,36,38.8
2021,Womens,at Idaho St.,01/07/21,66-70,L,27-66,.500,5-19,7-14,9,35,44,39.3
2021,Womens,at Idaho St.,01/09/21,65-78,L,24-59,.625,7-19,10-16,8,15,23,37.7
2021,Womens,vs Montana,01/14/21,74-83,L,26-66,.917,11-25,11-12,7,18,25,36.5
2021,Womens,vs Montana,01/16/21,89-76,W,33-58,.778,9-19,14-18,5,20,25,35.6
2021,Womens,at Montana St.,01/21/21,56-79,L,20-54,.565,3-15,13-23,13,21,34,35.5
2021,Womens,at Montana St.,01/23/21,65-90,L,28-69,.625,4-22,5-8,16,20,36,35.5
2021,Womens,at Northern Colo.,01/28/21,54-59,L,20-58,.733,3-19,11-15,10,25,35,35.5
2021,Womens,vs Northern Colo.,01/30/21,84-81,W,32-68,.750,8-21,12-16,13,20,33,35.3
2021,Womens,vs Sacramento St.,02/04/21,75-51,W,30-61,.286,13-28,2-7,10,39,49,36.1
2021,Womens,vs Sacramento St.,02/06/21,76-75,W,31-68,.667,6-25,8-12,10,23,33,35.9
2021,Womens,at Portland St.,02/11/21,73-75,L,26-62,.833,11-14,10-12,14,21,35,35.9
2021,Womens,at Portland St.,02/14/21,56-58,L,25-57,.400,4-14,2-5,9,24,33,35.8
2021,Womens,vs Weber St.,02/18/21,82-70,W,25-60,.778,11-21,21-27,14,25,39,35.9
2021,Womens,vs Weber St.,02/20/21,85-68,W,37-83,.750,8-25,3-4,18,29,47,36.4
2021,Womens,vs Southern Utah,02/25/21,67-56,W,24-62,.800,7-20,12-15,9,25,34,36.3
2021,Womens,at Southern Utah,02/27/21,80-97,L,28-73,.824,10-28,14-17,15,15,30,36.0
2021,Womens,vs Weber St.,03/08/21,82-68,W,30-66,.833,12-26,10-12,9,20,29,35.8
2021,Womens,at Idaho,03/09/21,53-67,L,23-63,.222,5-17,2-9,11,26,37,35.8
2021,Womens,at FIU,03/19/21,82-69,W,33-75,.818,7-21,9-11,14,33,47,36.2
2021,Womens,vs Portland,03/20/21,65-80,L,26-52,.750,1-11,12-16,7,20,27,35.9
2021,Womens,at Stetson,03/21/21,51-48,W,20-60,.667,3-18,8-12,15,33,48,36.3
2020,Womens,at New Mexico,11/08/19,76-83,L,25-64,.630,9-25,17-27,14,34,48,48.0
2020,Womens,vs Seattle U,11/16/19,88-80,W,29-69,.690,10-23,20-29,16,34,50,49.0
2020,Womens,at California Baptist,11/21/19,79-98,L,31-72,.714,7-20,10-14,8,30,38,45.3
2020,Womens,at Fresno State,11/24/19,66-83,L,27-56,.818,3-15,9-11,10,30,40,44.0
2020,Womens,at Rice,11/30/19,57-71,L,23-60,.857,5-20,6-7,9,27,36,42.4
2020,Womens,at Houston Baptist,12/01/19,79-62,W,29-57,.778,7-14,14-18,11,23,34,41.0
2020,Womens,vs UC Davis,12/08/19,61-71,L,20-52,.929,8-23,13-14,8,22,30,39.4
2020,Womens,at Oregon St.,12/18/19,57-91,L,25-64,.429,4-12,3-7,4,16,20,37.0
2020,Womens,vs San Jose St.,12/19/19,67-64,W,23-55,.750,3-12,18-24,12,38,50,38.4
2020,Womens,vs Montana,12/28/19,71-79,L,27-60,.538,10-21,7-13,6,25,31,37.7
2020,Womens,vs Montana St.,12/30/19,64-72,L,20-57,.800,4-17,20-25,11,32,43,38.2
2020,Womens,at Weber St.,01/04/20,88-82,W,31-69,.833,6-19,20-24,12,18,30,37.5
2020,Womens,vs Sacramento St.,01/09/20,114-107,W,41-99,.857,14-39,18-21,21,41,62,39.4
2020,Womens,at Idaho St.,01/11/20,70-59,W,25-51,.700,6-16,14-20,6,27,33,38.9
2020,Womens,vs Southern Utah,01/16/20,84-76,W,29-56,.696,10-21,16-23,9,27,36,38.7
2020,Womens,vs Northern Colo.,01/18/20,72-45,W,26-57,.688,9-22,11-16,15,31,46,39.2
2020,Womens,at Portland St.,01/25/20,54-66,L,21-62,.750,3-16,9-12,9,33,42,39.4
2020,Womens,at Sacramento St.,01/27/20,85-65,W,35-80,.727,7-21,8-11,23,37,60,40.5
2020,Womens,at Idaho,02/01/20,71-70,W,24-54,.684,10-15,13-19,8,31,39,40.4
2020,Womens,at Eastern Wash.,02/03/20,70-62,W,27-60,.846,5-15,11-13,11,27,38,40.3
2020,Womens,vs Idaho St.,02/06/20,76-79,L,24-64,.741,8-22,20-27,14,28,42,40.4
2020,Womens,vs Weber St.,02/08/20,92-61,W,32-74,.741,8-26,20-27,17,30,47,40.7
2020,Womens,at Northern Colo.,02/13/20,71-60,W,23-63,.895,8-18,17-19,10,25,35,40.4
2020,Womens,at Southern Utah,02/15/20,64-82,L,21-49,.850,5-12,17-20,2,21,23,39.7
2020,Womens,vs Idaho,02/20/20,70-67,W,25-65,.875,6-22,14-16,8,39,47,40.0
2020,Womens,vs Eastern Wash.,02/22/20,63-58,W,23-66,.667,5-17,12-18,18,30,48,40.3
2020,Womens,at Montana,02/27/20,57-70,L,23-65,.583,4-21,7-12,16,24,40,40.3
2020,Womens,at Montana St.,02/29/20,71-73,L,27-66,.833,7-25,10-12,10,29,39,40.3
2020,Womens,vs Portland St.,03/04/20,63-68,L,22-61,.778,5-17,14-18,10,34,44,40.4
2020,Womens,at Montana,03/10/20,68-65,W,22-57,.727,8-22,16-22,9,36,45,40.5
2020,Womens,at Montana St.,03/11/20,71-76,L,27-57,.750,8-19,9-12,6,30,36,40.4
2019,Womens,vs Fresno State,11/06/18,86-73,W,32-56,.875,15-20,7-8,8,31,39,39.0
2019,Womens,at Seattle U,11/09/18,65-58,W,23-63,.833,4-23,15-18,11,20,31,35.0
2019,Womens,at Washington,11/11/18,59-81,L,21-60,.647,6-25,11-17,11,20,31,33.7
2019,Womens,vs California Baptist,11/17/18,91-88,W,34-69,.750,5-15,18-24,8,31,39,35.0
2019,Womens,at LMU,11/23/18,63-62,W,26-58,.474,2-14,9-19,11,27,38,35.6
2019,Womens,at SMU,11/24/18,48-55,L,20-59,1.000,4-15,4-4,9,30,39,36.2
2019,Womens,at Colorado State,12/05/18,54-65,L,17-60,.800,8-20,12-15,11,30,41,36.9
2019,Womens,vs New Mexico,12/08/18,55-84,L,16-68,.739,6-26,17-23,14,31,45,37.9
2019,Womens,at Arizona,12/21/18,47-71,L,19-60,.500,2-12,7-14,18,20,38,37.9
2019,Womens,at Montana,12/29/18,62-78,L,23-65,.500,9-24,7-14,18,21,39,38.0
2019,Womens,at Montana State,12/31/18,70-80,L,30-69,.385,5-15,5-13,14,27,41,38.3
2019,Womens,vs Weber State,01/03/19,74-64,W,26-70,.778,8-18,14-18,14,33,47,39.0
2019,Womens,vs Idaho State,01/05/19,69-80,L,23-64,.714,3-13,20-28,18,26,44,39.4
2019,Womens,vs Southern Utah,01/12/19,76-82,L,28-66,.824,6-16,14-17,10,35,45,39.8
2019,Womens,at Sacramento State,01/17/19,61-65,L,23-67,.722,2-19,13-18,18,29,47,40.3
2019,Womens,at Portland State,01/19/19,55-72,L,17-54,.679,2-12,19-28,12,23,35,39.9
2019,Womens,at Northern Colorado,01/26/19,53-63,L,22-63,.600,3-12,6-10,12,30,42,40.1
2019,Womens,at Southern Utah,01/28/19,78-69,W,29-62,.789,5-15,15-19,12,29,41,40.1
2019,Womens,vs Idaho,01/31/19,69-86,L,27-66,.692,6-15,9-13,17,27,44,40.3
2019,Womens,vs Eastern Washington,02/02/19,62-64,L,23-54,.722,3-12,13-18,6,29,35,40.1
2019,Womens,at Idaho State,02/07/19,81-77,W,25-54,.783,13-20,18-23,8,25,33,39.7
2019,Womens,at Weber State,02/09/19,75-64,W,28-61,.750,7-20,12-16,10,36,46,40.0
2019,Womens,vs Portland State,02/14/19,59-74,L,21-58,.765,4-14,13-17,10,31,41,40.0
2019,Womens,vs Sacramento State,02/16/19,71-69,W,26-62,.652,4-15,15-23,15,23,38,40.0
2019,Womens,at Idaho,02/21/19,72-90,L,28-60,.706,4-10,12-17,7,20,27,39.4
2019,Womens,at Eastern Washington,02/23/19,76-81,L,27-54,.850,5-16,17-20,8,22,30,39.1
2019,Womens,vs Montana State,03/02/19,76-72,W,30-67,.700,9-25,7-10,16,27,43,39.2
2019,Womens,vs Montana,03/04/19,82-65,W,33-62,.857,10-20,6-7,8,31,39,39.2
2019,Womens,vs Northern Colorado,03/09/19,79-68,W,31-73,.786,6-22,11-14,16,32,48,39.5
2019,Womens,vs Sacramento State,03/11/19,74-69,W,22-66,.788,4-13,26-33,16,33,49,39.8
2019,Womens,at IDAHO,03/12/19,73-90,L,26-66,.867,8-19,13-15,5,32,37,39.7
2018,Womens,vs UC Santa Barbara,11/10/17,93-96,L,37-78,.750,7-18,12-16,14,29,43,43.0
2018,Womens,vs Rice,11/12/17,83-88,L,30-64,.778,9-21,14-18,11,25,36,39.5
2018,Womens,at Hawaii,11/17/17,68-84,L,22-59,.821,1-7,23-28,10,27,37,38.7
2018,Womens,vs Boise State,11/19/17,62-60,W,21-60,.571,4-14,16-28,13,29,42,39.5
2018,Womens,vs Antelope Valley,11/27/17,104-49,W,35-70,.651,6-21,28-43,23,47,70,45.6
2018,Womens,at Denver,12/03/17,73-80,L,23-68,.692,9-24,18-26,21,32,53,46.8
2018,Womens,vs Arizona,12/07/17,84-66,W,30-55,.762,8-13,16-21,4,30,34,45.0
2018,Womens,vs Cal Poly,12/09/17,73-89,L,27-65,.619,6-18,13-21,13,22,35,43.8
2018,Womens,vs Grand Canyon,12/14/17,54-72,L,19-54,.722,3-14,13-18,9,31,40,43.3
2018,Womens,at Youngstown State,12/16/17,67-69,L,26-49,.474,6-16,9-19,7,29,36,42.6
2018,Womens,at CSUN,12/18/17,69-78,L,27-70,.750,6-19,9-12,15,32,47,43.0
2018,Womens,at Montana,12/28/17,62-70,L,25-62,.750,6-20,6-8,12,37,49,43.5
2018,Womens,at Montana State,12/30/17,39-81,L,15-64,.778,2-20,7-9,16,19,35,42.8
2018,Womens,vs Weber State,01/04/18,76-75,W,30-70,.643,7-21,9-14,12,31,43,42.9
2018,Womens,vs Idaho State,01/06/18,55-75,L,15-53,.864,6-18,19-22,8,27,35,42.3
2018,Womens,vs Southern Utah,01/13/18,57-60,L,23-58,1.000,4-13,7-7,11,28,39,42.1
2018,Womens,at Eastern Washington,01/18/18,62-82,L,21-62,.636,6-20,14-22,13,27,40,42.0
2018,Womens,at Idaho,01/20/18,68-83,L,25-67,.667,8-27,10-15,11,23,34,41.6
2018,Womens,vs Montana State,01/25/18,56-78,L,19-63,.778,4-30,14-18,14,33,47,41.8
2018,Womens,vs Montana,01/27/18,52-69,L,14-51,.826,5-19,19-23,9,25,34,41.5
2018,Womens,at Idaho State,02/01/18,59-76,L,19-47,.652,6-14,15-23,11,21,32,41.0
2018,Womens,at Weber State,02/03/18,63-77,L,24-69,.667,3-19,12-18,16,33,49,41.4
2018,Womens,at Southern Utah,02/10/18,72-55,W,28-62,.571,8-18,8-14,10,32,42,41.4
2018,Womens,vs Northern Colorado,02/15/18,63-85,L,24-51,.833,5-11,10-12,2,26,28,40.8
2018,Womens,vs North Dakota,02/17/18,79-59,W,28-61,.722,10-21,13-18,9,30,39,40.8
2018,Womens,at Sacramento State,02/22/18,95-90,W,31-70,.684,7-22,26-38,20,51,71,41.9
2018,Womens,at Portland State,02/24/18,59-68,L,21-63,.625,7-25,10-16,17,31,48,42.1
2018,Womens,vs Idaho,02/28/18,83-93,L,33-63,.714,7-11,10-14,8,23,31,41.8
2018,Womens,vs Eastern Washington,03/02/18,83-98,L,27-64,.800,9-23,20-25,12,23,35,41.5
2018,Womens,at Portland State,03/05/18,61-77,L,22-76,.692,8-28,9-13,23,31,54,41.9
2017,Womens,at UTEP,11/11/16,65-51,W,26-62,.700,6-18,7-10,14,24,38,38.0
2017,Womens,vs Antelope Valley,11/13/16,109-60,W,40-83,.909,9-23,20-22,18,43,61,49.5
2017,Womens,at Cal Poly,11/18/16,53-58,L,20-63,.667,5-25,8-12,16,34,50,49.7
2017,Womens,at UC Santa Barbara,11/20/16,51-60,L,17-53,.591,4-17,13-22,15,23,38,46.8
2017,Womens,at Lamar,11/23/16,60-75,L,19-54,.824,8-22,14-17,12,22,34,44.2
2017,Womens,vs Youngstown St.,11/28/16,70-49,W,27-68,.900,7-25,9-10,15,36,51,45.3
2017,Womens,vs CSUN,12/01/16,79-83,L,28-66,.824,9-25,14-17,17,18,35,43.9
2017,Womens,vs Denver,12/03/16,82-67,W,32-62,.545,12-27,6-11,11,21,32,42.4
2017,Womens,vs New Mexico State,12/11/16,68-79,L,23-57,.786,11-28,11-14,15,19,34,41.4
2017,Womens,at Grand Canyon,12/19/16,65-76,L,24-66,.500,11-32,6-12,12,26,38,41.1
2017,Womens,at Utah,12/21/16,65-78,L,21-67,.682,8-29,15-22,15,28,43,41.3
2017,Womens,at Southern Utah,12/31/16,77-68,W,25-73,.938,12-35,15-16,12,24,36,40.8
2017,Womens,vs North Dakota,01/05/17,78-80,L,27-62,.850,7-19,17-20,8,24,32,40.2
2017,Womens,vs Northern Colorado,01/07/17,66-69,L,23-59,.813,7-18,13-16,15,27,42,40.3
2017,Womens,at Sacramento State,01/14/17,76-82,L,29-60,.813,5-15,13-16,13,32,45,40.6
2017,Womens,at Portland State,01/16/17,55-56,L,22-67,.667,3-22,8-12,16,22,38,40.4
2017,Womens,vs Eastern Washington,01/19/17,56-47,W,19-52,.750,6-15,12-16,13,31,44,40.6
2017,Womens,vs Idaho,01/21/17,80-91,L,31-67,.875,4-14,14-16,13,21,34,40.3
2017,Womens,at Northern Colorado,01/26/17,64-75,L,24-57,.800,8-18,8-10,13,18,31,39.8
2017,Womens,at North Dakota,01/28/17,69-88,L,23-73,.625,8-23,15-24,23,14,37,39.7
2017,Womens,vs Idaho State,02/02/17,51-64,L,17-51,.857,5-18,12-14,8,14,22,38.8
2017,Womens,vs Weber State,02/04/17,64-75,L,27-68,.600,4-19,6-10,16,31,47,39.2
2017,Womens,at Montana State,02/09/17,69-86,L,25-63,.667,9-28,10-15,11,22,33,38.9
2017,Womens,at Montana,02/11/17,59-60,L,24-63,.600,5-23,6-10,11,29,40,39.0
2017,Womens,vs Southern Utah,02/18/17,77-65,W,28-63,.867,8-23,13-15,13,32,45,39.2
2017,Womens,vs Sacramento State,02/23/17,91-88,W,35-69,.600,9-23,12-20,8,40,48,39.5
2017,Womens,vs Portland State,02/25/17,73-74,L,29-83,.333,13-38,2-6,18,24,42,39.6
2017,Womens,at Idaho,03/01/17,76-61,W,26-65,.778,10-25,14-18,11,28,39,39.6
2017,Womens,at Eastern Washington,03/03/17,64-79,L,23-56,.778,4-21,14-18,8,28,36,39.5
2017,Womens,at Portland State,03/06/17,76-88,L,25-60,.833,11-30,15-18,11,19,30,39.2
2016,Womens,vs Hawaii,11/15/15,52-61,L,14-59,.800,0-10,24-30,13,22,35,35.0
2016,Womens,at UTEP,11/17/15,66-77,L,25-60,.478,5-16,11-23,13,31,44,39.5
2016,Womens,vs Lamar,11/22/15,75-63,W,33-64,.545,3-15,6-11,14,35,49,42.7
2016,Womens,at Long Beach St.,11/27/15,48-69,L,19-57,.444,2-12,8-18,16,27,43,42.8
2016,Womens,at New Mexico State,11/28/15,53-87,L,19-59,.632,3-13,12-19,16,24,40,42.2
2016,Womens,vs N.M. Highlands,12/01/15,91-43,W,34-63,.867,10-17,13-15,14,36,50,43.5
2016,Womens,at UC Irvine,12/04/15,71-55,W,28-58,.462,3-17,12-26,11,31,42,43.3
2016,Womens,at Colorado,12/09/15,66-90,L,23-65,.739,3-11,17-23,16,20,36,42.4
2016,Womens,vs Dixie St.,12/12/15,68-66,W,26-62,.778,2-7,14-18,10,34,44,42.6
2016,Womens,at Nebraska,12/19/15,67-90,L,29-70,.333,5-16,4-12,10,26,36,41.9
2016,Womens,at Iowa State,12/22/15,63-79,L,23-67,.643,8-18,9-14,14,28,42,41.9
2016,Womens,at Montana,12/31/15,58-81,L,21-55,.643,7-15,9-14,13,19,32,41.1
2016,Womens,at Montana State,01/02/16,77-86,L,28-64,.536,6-16,15-28,14,37,51,41.8
2016,Womens,vs Southern Utah,01/09/16,57-48,W,22-64,.533,5-16,8-15,13,39,52,42.6
2016,Womens,vs Idaho,01/14/16,51-72,L,20-63,.833,6-19,5-6,9,24,33,41.9
2016,Womens,vs Eastern Washington,01/16/16,71-81,L,23-66,.875,4-14,21-24,18,26,44,42.1
2016,Womens,at North Dakota,01/21/16,56-63,L,21-59,.818,5-13,9-11,13,17,30,41.4
2016,Womens,at Northern Colorado,01/23/16,55-79,L,17-48,.810,4-14,17-21,6,23,29,40.7
2016,Womens,vs Weber State,01/28/16,56-76,L,20-63,.882,1-12,15-17,15,29,44,40.8
2016,Womens,vs Idaho State,01/30/16,63-62,W,21-56,.682,6-16,15-22,11,32,43,41.0
2016,Womens,at Eastern Washington,02/04/16,65-72,L,24-65,.696,1-14,16-23,17,27,44,41.1
2016,Womens,at Idaho,02/06/16,59-76,L,21-62,.533,9-15,8-15,12,26,38,41.0
2016,Womens,vs Montana State,02/11/16,72-83,L,26-59,.750,5-12,15-20,11,20,31,40.5
2016,Womens,vs Montana,02/13/16,57-61,L,19-49,.667,7-17,12-18,9,31,40,40.5
2016,Womens,at Idaho State,02/18/16,61-71,L,20-63,.680,4-13,17-25,14,20,34,40.2
