,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2017,Mens,05,"Green, Mike",29,24.6,.383,.360,.750,0.2,2.2,2.4,2.5,0.7,0.0,10.4
2017,Mens,41,"DeBerry, Marcus",32,32.6,.325,.294,.750,0.3,3.8,4.0,2.9,0.6,0.1,10.3
2017,Mens,10,"Neely, Jaleni",13,23.6,.289,.267,.800,0.4,2.0,2.4,3.3,0.6,0.0,8.0
2017,Mens,04,"Anderson, JoJo",32,23.1,.408,.324,.696,0.3,3.0,3.2,2.5,0.6,0.0,7.4
2017,Mens,13,"Rivera-Vega, Felix",13,9.7,.457,.333,.300,1.1,1.9,3.0,0.5,0.1,0.0,4.1
2017,Mens,12,"de Laveaga, Kye",27,14.3,.367,.392,.500,0.1,0.7,0.8,0.6,0.4,0.0,3.7
2017,Mens,22,"DeBisschop, Brooks",28,13.4,.440,.313,.571,1.2,1.5,2.7,0.8,0.3,0.5,3.4
2017,Mens,32,"Bowling, Chris",30,14.4,.252,.210,.737,0.8,1.2,1.9,0.6,0.3,0.2,2.8
2017,Mens,33,"Thomas, Isaiah",25,8.3,.585,.000,.654,0.8,1.5,2.2,0.1,0.1,0.5,2.6
2017,Mens,20,"Stanley, Steven",11,7.0,.636,.000,.889,0.5,0.8,1.3,0.3,0.0,0.0,2.0
2017,Mens,02,"Brown, Corey",23,7.4,.452,.000,.600,0.3,1.1,1.4,0.2,0.0,0.1,1.5
2017,Mens,03,"Ndiaye, Omar",2,1.5,.500,.000,1.000,0.0,0.5,0.5,0.0,0.0,0.0,1.5
2017,Mens,35,"Seck, Aziz",21,7.1,.343,.000,.250,0.6,1.0,1.5,0.1,0.2,0.1,1.3
2016,Mens,04,"Yanku, Kris",29,31.3,.353,.333,.820,0.8,4.7,5.4,4.8,1.8,0.1,14.7
2016,Mens,11,"Kaluna, Ako",30,31.5,.409,.306,.644,1.7,5.5,7.2,1.2,0.7,0.6,12.4
2016,Mens,10,"Neely, Jaleni",9,30.9,.342,.357,.793,0.3,2.4,2.8,2.1,1.6,0.1,10.6
2016,Mens,00,"Johnson, Torry",29,29.1,.455,.349,.657,0.8,1.9,2.6,1.6,0.6,0.1,9.3
2016,Mens,05,"Green, Mike",29,24.3,.355,.356,.650,0.3,1.9,2.3,1.9,0.8,0.0,7.9
2016,Mens,41,"DeBerry, Marcus",30,29.0,.360,.342,.833,0.5,2.3,2.8,1.6,0.8,0.2,7.6
2016,Mens,34,"Martin, Jordyn",3,27.3,.474,.000,1.000,2.3,1.0,3.3,0.7,1.0,0.0,6.7
